a ㄚ
shianqqqqq ㄕㄧㄢ˙
shiang ㄕㄧㄤ
shiangq ㄕㄧㄤˉ
shiangqq ㄕㄧㄤˊ
shiangqqq ㄕㄧㄤˇ
shiangqqqq ㄕㄧㄤˋ
shiangqqqqq ㄕㄧㄤ˙
shiao ㄕㄧㄠ
shiaoq ㄕㄧㄠˉ
shiaoqq ㄕㄧㄠˊ
shiaoqqq ㄕㄧㄠˇ
shiaoqqqq ㄕㄧㄠˋ
shiaoqqqqq ㄕㄧㄠ˙
shie ㄕㄧㄝ
shieq ㄕㄧㄝˉ
shieqq ㄕㄧㄝˊ
shieqqq ㄕㄧㄝˇ
shieqqqq ㄕㄧㄝˋ
shieqqqqq ㄕㄧㄝ˙
shin ㄕㄧㄣ
shinq ㄕㄧㄣˉ
shinqq ㄕㄧㄣˊ
shinqqq ㄕㄧㄣˇ
shinqqqq ㄕㄧㄣˋ
shinqqqqq ㄕㄧㄣ˙
shing ㄕㄧㄥ
shingq ㄕㄧㄥˉ
shingqq ㄕㄧㄥˊ
shingqqq ㄕㄧㄥˇ
shingqqqq ㄕㄧㄥˋ
shingqqqqq ㄕㄧㄥ˙
shiong ㄕㄩㄥ
shiongq ㄕㄩㄥˉ
shiongqq ㄕㄩㄥˊ
shiongqqq ㄕㄩㄥˇ
shiongqqqq ㄕㄩㄥˋ
shiongqqqqq ㄕㄩㄥ˙
shiou ㄕㄧㄡ
shiouq ㄕㄧㄡˉ
shiouqq ㄕㄧㄡˊ
shiouqqq ㄕㄧㄡˇ
shiouqqqq ㄕㄧㄡˋ
shiouqqqqq ㄕㄧㄡ˙
shiu ㄕㄧㄡ
shiuq ㄕㄧㄡˉ
shiuqq ㄕㄧㄡˊ
shiuqqq ㄕㄧㄡˇ
shiuqqqq ㄕㄧㄡˋ
shiuqqqqq ㄕㄧㄡ˙
shiung ㄕㄩㄥ
shiungq ㄕㄩㄥˉ
shiungqq ㄕㄩㄥˊ
shiungqqq ㄕㄩㄥˇ
shiungqqqq ㄕㄩㄥˋ
shiungqqqqq ㄕㄩㄥ˙
sho ㄕㄛ
shoq ㄕㄛˉ
shoqq ㄕㄛˊ
shoqqq ㄕㄛˇ
shoqqqq ㄕㄛˋ
shoqqqqq ㄕㄛ˙
shong ㄕㄨㄥ
shongq ㄕㄨㄥˉ
shongqq ㄕㄨㄥˊ
shongqqq ㄕㄨㄥˇ
shongqqqq ㄕㄨㄥˋ
shongqqqqq ㄕㄨㄥ˙
shou ㄕㄡ
shouq ㄕㄡˉ
shouqq ㄕㄡˊ
shouqqq ㄕㄡˇ
shouqqqq ㄕㄡˋ
shouqqqqq ㄕㄡ˙
shu ㄕㄨ
shuq ㄕㄨˉ
shuqq ㄕㄨˊ
shuqqq ㄕㄨˇ
shuqqqq ㄕㄨˋ
shuqqqqq ㄕㄨ˙
shua ㄕㄨㄚ
shuaq ㄕㄨㄚˉ
shuaqq ㄕㄨㄚˊ
shuaqqq ㄕㄨㄚˇ
shuaqqqq ㄕㄨㄚˋ
shuaqqqqq ㄕㄨㄚ˙
shuai ㄕㄨㄞ
shuaiq ㄕㄨㄞˉ
shuaiqq ㄕㄨㄞˊ
shuaiqqq ㄕㄨㄞˇ
shuaiqqqq ㄕㄨㄞˋ
shuaiqqqqq ㄕㄨㄞ˙
shuan ㄕㄨㄢ
shuanq ㄕㄨㄢˉ
shuanqq ㄕㄨㄢˊ
shuanqqq ㄕㄨㄢˇ
shuanqqqq ㄕㄨㄢˋ
shuanqqqqq ㄕㄨㄢ˙
shuang ㄕㄨㄤ
shuangq ㄕㄨㄤˉ
shuangqq ㄕㄨㄤˊ
shuangqqq ㄕㄨㄤˇ
shuangqqqq ㄕㄨㄤˋ
shuangqqqqq ㄕㄨㄤ˙
shui ㄕㄨㄟ
shuiq ㄕㄨㄟˉ
shuiqq ㄕㄨㄟˊ
shuiqqq ㄕㄨㄟˇ
shuiqqqq ㄕㄨㄟˋ
shuiqqqqq ㄕㄨㄟ˙
shun ㄕㄨㄣ
shunq ㄕㄨㄣˉ
shunqq ㄕㄨㄣˊ
shunqqq ㄕㄨㄣˇ
shunqqqq ㄕㄨㄣˋ
shunqqqqq ㄕㄨㄣ˙
shung ㄕㄨㄥ
shungq ㄕㄨㄥˉ
shungqq ㄕㄨㄥˊ
shungqqq ㄕㄨㄥˇ
shungqqqq ㄕㄨㄥˋ
shungqqqqq ㄕㄨㄥ˙
shuo ㄕㄨㄛ
shuoq ㄕㄨㄛˉ
shuoqq ㄕㄨㄛˊ
shuoqqq ㄕㄨㄛˇ
shuoqqqq ㄕㄨㄛˋ
shuoqqqqq ㄕㄨㄛ˙
shv ㄕㄩ
shvq ㄕㄩˉ
shvqq ㄕㄩˊ
shvqqq ㄕㄩˇ
shvqqqq ㄕㄩˋ
shvqqqqq ㄕㄩ˙
shve ㄕㄩㄝ
shveq ㄕㄩㄝˉ
shveqq ㄕㄩㄝˊ
shveqqq ㄕㄩㄝˇ
shveqqqq ㄕㄩㄝˋ
shveqqqqq ㄕㄩㄝ˙
shvn ㄕㄩㄣ
shvnq ㄕㄩㄣˉ
shvnqq ㄕㄩㄣˊ
shvnqqq ㄕㄩㄣˇ
shvnqqqq ㄕㄩㄣˋ
shvnqqqqq ㄕㄩㄣ˙
shvng ㄕㄩㄥ
shvngq ㄕㄩㄥˉ
shvngqq ㄕㄩㄥˊ
shvngqqq ㄕㄩㄥˇ
shvngqqqq ㄕㄩㄥˋ
shvngqqqqq ㄕㄩㄥ˙
shyu ㄕㄩ
shyuq ㄕㄩˉ
shyuqq ㄕㄩˊ
shyuqqq ㄕㄩˇ
shyuqqqq ㄕㄩˋ
shyuqqqqq ㄕㄩ˙
shyue ㄕㄩㄝ
shyueq ㄕㄩㄝˉ
shyueqq ㄕㄩㄝˊ
shyueqqq ㄕㄩㄝˇ
shyueqqqq ㄕㄩㄝˋ
shyueqqqqq ㄕㄩㄝ˙
shyun ㄕㄩㄣ
shyunq ㄕㄩㄣˉ
shyunqq ㄕㄩㄣˊ
shyunqqq ㄕㄩㄣˇ
shyunqqqq ㄕㄩㄣˋ
shyunqqqqq ㄕㄩㄣ˙
shyung ㄕㄩㄥ
shyungq ㄕㄩㄥˉ
shyungqq ㄕㄩㄥˊ
shyungqqq ㄕㄩㄥˇ
shyungqqqq ㄕㄩㄥˋ
shyungqqqqq ㄕㄩㄥ˙
si ㄙ
siq ㄙˉ
siqq ㄙˊ
siqqq ㄙˇ
siqqqq ㄙˋ
siqqqqq ㄙ˙
si ㄙㄧ
siq ㄙㄧˉ
siqq ㄙㄧˊ
siqqq ㄙㄧˇ
siqqqq ㄙㄧˋ
siqqqqq ㄙㄧ˙
sia ㄙㄧㄚ
siaq ㄙㄧㄚˉ
siaqq ㄙㄧㄚˊ
siaqqq ㄙㄧㄚˇ
siaqqqq ㄙㄧㄚˋ
siaqqqqq ㄙㄧㄚ˙
sian ㄙㄧㄢ
sianq ㄙㄧㄢˉ
sianqq ㄙㄧㄢˊ
sianqqq ㄙㄧㄢˇ
sianqqqq ㄙㄧㄢˋ
sianqqqqq ㄙㄧㄢ˙
siang ㄙㄧㄤ
siangq ㄙㄧㄤˉ
siangqq ㄙㄧㄤˊ
siangqqq ㄙㄧㄤˇ
siangqqqq ㄙㄧㄤˋ
siangqqqqq ㄙㄧㄤ˙
siao ㄙㄧㄠ
siaoq ㄙㄧㄠˉ
siaoqq ㄙㄧㄠˊ
siaoqqq ㄙㄧㄠˇ
siaoqqqq ㄙㄧㄠˋ
siaoqqqqq ㄙㄧㄠ˙
sie ㄙㄧㄝ
sieq ㄙㄧㄝˉ
sieqq ㄙㄧㄝˊ
sieqqq ㄙㄧㄝˇ
sieqqqq ㄙㄧㄝˋ
sieqqqqq ㄙㄧㄝ˙
sin ㄙㄧㄣ
sinq ㄙㄧㄣˉ
sinqq ㄙㄧㄣˊ
sinqqq ㄙㄧㄣˇ
sinqqqq ㄙㄧㄣˋ
sinqqqqq ㄙㄧㄣ˙
sing ㄙㄧㄥ
singq ㄙㄧㄥˉ
singqq ㄙㄧㄥˊ
singqqq ㄙㄧㄥˇ
singqqqq ㄙㄧㄥˋ
singqqqqq ㄙㄧㄥ˙
siong ㄙㄩㄥ
siongq ㄙㄩㄥˉ
siongqq ㄙㄩㄥˊ
siongqqq ㄙㄩㄥˇ
siongqqqq ㄙㄩㄥˋ
siongqqqqq ㄙㄩㄥ˙
siou ㄙㄧㄡ
siouq ㄙㄧㄡˉ
siouqq ㄙㄧㄡˊ
siouqqq ㄙㄧㄡˇ
siouqqqq ㄙㄧㄡˋ
siouqqqqq ㄙㄧㄡ˙
siu ㄙㄧㄡ
siuq ㄙㄧㄡˉ
siuqq ㄙㄧㄡˊ
siuqqq ㄙㄧㄡˇ
siuqqqq ㄙㄧㄡˋ
siuqqqqq ㄙㄧㄡ˙
siung ㄙㄩㄥ
siungq ㄙㄩㄥˉ
siungqq ㄙㄩㄥˊ
siungqqq ㄙㄩㄥˇ
siungqqqq ㄙㄩㄥˋ
siungqqqqq ㄙㄩㄥ˙
so ㄙㄛ
soq ㄙㄛˉ
soqq ㄙㄛˊ
soqqq ㄙㄛˇ
soqqqq ㄙㄛˋ
soqqqqq ㄙㄛ˙
song ㄙㄨㄥ
songq ㄙㄨㄥˉ
songqq ㄙㄨㄥˊ
songqqq ㄙㄨㄥˇ
songqqqq ㄙㄨㄥˋ
songqqqqq ㄙㄨㄥ˙
sou ㄙㄡ
souq ㄙㄡˉ
souqq ㄙㄡˊ
souqqq ㄙㄡˇ
souqqqq ㄙㄡˋ
souqqqqq ㄙㄡ˙
su ㄙㄨ
suq ㄙㄨˉ
suqq ㄙㄨˊ
suqqq ㄙㄨˇ
suqqqq ㄙㄨˋ
suqqqqq ㄙㄨ˙
sua ㄙㄨㄚ
suaq ㄙㄨㄚˉ
suaqq ㄙㄨㄚˊ
suaqqq ㄙㄨㄚˇ
suaqqqq ㄙㄨㄚˋ
suaqqqqq ㄙㄨㄚ˙
suai ㄙㄨㄞ
suaiq ㄙㄨㄞˉ
suaiqq ㄙㄨㄞˊ
suaiqqq ㄙㄨㄞˇ
suaiqqqq ㄙㄨㄞˋ
suaiqqqqq ㄙㄨㄞ˙
suan ㄙㄨㄢ
suanq ㄙㄨㄢˉ
suanqq ㄙㄨㄢˊ
suanqqq ㄙㄨㄢˇ
suanqqqq ㄙㄨㄢˋ
suanqqqqq ㄙㄨㄢ˙
suang ㄙㄨㄤ
suangq ㄙㄨㄤˉ
suangqq ㄙㄨㄤˊ
suangqqq ㄙㄨㄤˇ
suangqqqq ㄙㄨㄤˋ
suangqqqqq ㄙㄨㄤ˙
sui ㄙㄨㄟ
suiq ㄙㄨㄟˉ
suiqq ㄙㄨㄟˊ
suiqqq ㄙㄨㄟˇ
suiqqqq ㄙㄨㄟˋ
suiqqqqq ㄙㄨㄟ˙
sun ㄙㄨㄣ
sunq ㄙㄨㄣˉ
sunqq ㄙㄨㄣˊ
sunqqq ㄙㄨㄣˇ
sunqqqq ㄙㄨㄣˋ
sunqqqqq ㄙㄨㄣ˙
sung ㄙㄨㄥ
sungq ㄙㄨㄥˉ
sungqq ㄙㄨㄥˊ
sungqqq ㄙㄨㄥˇ
sungqqqq ㄙㄨㄥˋ
sungqqqqq ㄙㄨㄥ˙
suo ㄙㄨㄛ
suoq ㄙㄨㄛˉ
suoqq ㄙㄨㄛˊ
suoqqq ㄙㄨㄛˇ
suoqqqq ㄙㄨㄛˋ
suoqqqqq ㄙㄨㄛ˙
sv ㄙㄩ
svq ㄙㄩˉ
svqq ㄙㄩˊ
svqqq ㄙㄩˇ
svqqqq ㄙㄩˋ
svqqqqq ㄙㄩ˙
sve ㄙㄩㄝ
sveq ㄙㄩㄝˉ
sveqq ㄙㄩㄝˊ
sveqqq ㄙㄩㄝˇ
sveqqqq ㄙㄩㄝˋ
sveqqqqq ㄙㄩㄝ˙
svn ㄙㄩㄣ
svnq ㄙㄩㄣˉ
svnqq ㄙㄩㄣˊ
svnqqq ㄙㄩㄣˇ
svnqqqq ㄙㄩㄣˋ
svnqqqqq ㄙㄩㄣ˙
svng ㄙㄩㄥ
svngq ㄙㄩㄥˉ
svngqq ㄙㄩㄥˊ
svngqqq ㄙㄩㄥˇ
svngqqqq ㄙㄩㄥˋ
svngqqqqq ㄙㄩㄥ˙
syu ㄙㄩ
syuq ㄙㄩˉ
syuqq ㄙㄩˊ
syuqqq ㄙㄩˇ
syuqqqq ㄙㄩˋ
syuqqqqq ㄙㄩ˙
syue ㄙㄩㄝ
syueq ㄙㄩㄝˉ
syueqq ㄙㄩㄝˊ
syueqqq ㄙㄩㄝˇ
syueqqqq ㄙㄩㄝˋ
syueqqqqq ㄙㄩㄝ˙
syun ㄙㄩㄣ
syunq ㄙㄩㄣˉ
syunqq ㄙㄩㄣˊ
syunqqq ㄙㄩㄣˇ
syunqqqq ㄙㄩㄣˋ
syunqqqqq ㄙㄩㄣ˙
syung ㄙㄩㄥ
syungq ㄙㄩㄥˉ
syungqq ㄙㄩㄥˊ
syungqqq ㄙㄩㄥˇ
syungqqqq ㄙㄩㄥˋ
syungqqqqq ㄙㄩㄥ˙
ta ㄊㄚ
taq ㄊㄚˉ
taqq ㄊㄚˊ
taqqq ㄊㄚˇ
taqqqq ㄊㄚˋ
taqqqqq ㄊㄚ˙
tai ㄊㄞ
taiq ㄊㄞˉ
taiqq ㄊㄞˊ
taiqqq ㄊㄞˇ
taiqqqq ㄊㄞˋ
taiqqqqq ㄊㄞ˙
tan ㄊㄢ
tanq ㄊㄢˉ
tanqq ㄊㄢˊ
tanqqq ㄊㄢˇ
tanqqqq ㄊㄢˋ
tanqqqqq ㄊㄢ˙
tang ㄊㄤ
tangq ㄊㄤˉ
tangqq ㄊㄤˊ
tangqqq ㄊㄤˇ
tangqqqq ㄊㄤˋ
tangqqqqq ㄊㄤ˙
tao ㄊㄠ
taoq ㄊㄠˉ
taoqq ㄊㄠˊ
taoqqq ㄊㄠˇ
taoqqqq ㄊㄠˋ
taoqqqqq ㄊㄠ˙
te ㄊㄜ
teq ㄊㄜˉ
teqq ㄊㄜˊ
teqqq ㄊㄜˇ
teqqqq ㄊㄜˋ
teqqqqq ㄊㄜ˙
tei ㄊㄟ
teiq ㄊㄟˉ
teiqq ㄊㄟˊ
teiqqq ㄊㄟˇ
teiqqqq ㄊㄟˋ
teiqqqqq ㄊㄟ˙
ten ㄊㄣ
tenq ㄊㄣˉ
tenqq ㄊㄣˊ
tenqqq ㄊㄣˇ
tenqqqq ㄊㄣˋ
tenqqqqq ㄊㄣ˙
teng ㄊㄥ
tengq ㄊㄥˉ
tengqq ㄊㄥˊ
tengqqq ㄊㄥˇ
tengqqqq ㄊㄥˋ
tengqqqqq ㄊㄥ˙
ter ㄊㄦ
terq ㄊㄦˉ
terqq ㄊㄦˊ
terqqq ㄊㄦˇ
terqqqq ㄊㄦˋ
terqqqqq ㄊㄦ˙
ti ㄊㄧ
tiq ㄊㄧˉ
tiqq ㄊㄧˊ
tiqqq ㄊㄧˇ
tiqqqq ㄊㄧˋ
tiqqqqq ㄊㄧ˙
tia ㄊㄧㄚ
tiaq ㄊㄧㄚˉ
tiaqq ㄊㄧㄚˊ
tiaqqq ㄊㄧㄚˇ
tiaqqqq ㄊㄧㄚˋ
tiaqqqqq ㄊㄧㄚ˙
tian ㄊㄧㄢ
tianq ㄊㄧㄢˉ
tianqq ㄊㄧㄢˊ
tianqqq ㄊㄧㄢˇ
tianqqqq ㄊㄧㄢˋ
tianqqqqq ㄊㄧㄢ˙
tiang ㄊㄧㄤ
tiangq ㄊㄧㄤˉ
tiangqq ㄊㄧㄤˊ
tiangqqq ㄊㄧㄤˇ
tiangqqqq ㄊㄧㄤˋ
tiangqqqqq ㄊㄧㄤ˙
tiao ㄊㄧㄠ
tiaoq ㄊㄧㄠˉ
tiaoqq ㄊㄧㄠˊ
tiaoqqq ㄊㄧㄠˇ
tiaoqqqq ㄊㄧㄠˋ
tiaoqqqqq ㄊㄧㄠ˙
tie ㄊㄧㄝ
tieq ㄊㄧㄝˉ
tieqq ㄊㄧㄝˊ
tieqqq ㄊㄧㄝˇ
tieqqqq ㄊㄧㄝˋ
tieqqqqq ㄊㄧㄝ˙
tin ㄊㄧㄣ
tinq ㄊㄧㄣˉ
tinqq ㄊㄧㄣˊ
tinqqq ㄊㄧㄣˇ
tinqqqq ㄊㄧㄣˋ
tinqqqqq ㄊㄧㄣ˙
ting ㄊㄧㄥ
tingq ㄊㄧㄥˉ
tingqq ㄊㄧㄥˊ
tingqqq ㄊㄧㄥˇ
tingqqqq ㄊㄧㄥˋ
tingqqqqq ㄊㄧㄥ˙
tiong ㄊㄩㄥ
tiongq ㄊㄩㄥˉ
tiongqq ㄊㄩㄥˊ
tiongqqq ㄊㄩㄥˇ
tiongqqqq ㄊㄩㄥˋ
tiongqqqqq ㄊㄩㄥ˙
tiou ㄊㄧㄡ
tiouq ㄊㄧㄡˉ
tiouqq ㄊㄧㄡˊ
tiouqqq ㄊㄧㄡˇ
tiouqqqq ㄊㄧㄡˋ
tiouqqqqq ㄊㄧㄡ˙
tiu ㄊㄧㄡ
tiuq ㄊㄧㄡˉ
tiuqq ㄊㄧㄡˊ
tiuqqq ㄊㄧㄡˇ
tiuqqqq ㄊㄧㄡˋ
tiuqqqqq ㄊㄧㄡ˙
tiung ㄊㄩㄥ
tiungq ㄊㄩㄥˉ
tiungqq ㄊㄩㄥˊ
tiungqqq ㄊㄩㄥˇ
tiungqqqq ㄊㄩㄥˋ
tiungqqqqq ㄊㄩㄥ˙
to ㄊㄛ
toq ㄊㄛˉ
toqq ㄊㄛˊ
toqqq ㄊㄛˇ
toqqqq ㄊㄛˋ
toqqqqq ㄊㄛ˙
tong ㄊㄨㄥ
tongq ㄊㄨㄥˉ
tongqq ㄊㄨㄥˊ
tongqqq ㄊㄨㄥˇ
tongqqqq ㄊㄨㄥˋ
tongqqqqq ㄊㄨㄥ˙
tou ㄊㄡ
touq ㄊㄡˉ
touqq ㄊㄡˊ
touqqq ㄊㄡˇ
touqqqq ㄊㄡˋ
touqqqqq ㄊㄡ˙
tu ㄊㄨ
tuq ㄊㄨˉ
tuqq ㄊㄨˊ
tuqqq ㄊㄨˇ
tuqqqq ㄊㄨˋ
tuqqqqq ㄊㄨ˙
tua ㄊㄨㄚ
tuaq ㄊㄨㄚˉ
tuaqq ㄊㄨㄚˊ
tuaqqq ㄊㄨㄚˇ
tuaqqqq ㄊㄨㄚˋ
tuaqqqqq ㄊㄨㄚ˙
tuai ㄊㄨㄞ
tuaiq ㄊㄨㄞˉ
tuaiqq ㄊㄨㄞˊ
tuaiqqq ㄊㄨㄞˇ
tuaiqqqq ㄊㄨㄞˋ
tuaiqqqqq ㄊㄨㄞ˙
tuan ㄊㄨㄢ
tuanq ㄊㄨㄢˉ
tuanqq ㄊㄨㄢˊ
tuanqqq ㄊㄨㄢˇ
tuanqqqq ㄊㄨㄢˋ
tuanqqqqq ㄊㄨㄢ˙
tuang ㄊㄨㄤ
tuangq ㄊㄨㄤˉ
tuangqq ㄊㄨㄤˊ
tuangqqq ㄊㄨㄤˇ
tuangqqqq ㄊㄨㄤˋ
tuangqqqqq ㄊㄨㄤ˙
tui ㄊㄨㄟ
tuiq ㄊㄨㄟˉ
tuiqq ㄊㄨㄟˊ
tuiqqq ㄊㄨㄟˇ
tuiqqqq ㄊㄨㄟˋ
tuiqqqqq ㄊㄨㄟ˙
tun ㄊㄨㄣ
tunq ㄊㄨㄣˉ
tunqq ㄊㄨㄣˊ
tunqqq ㄊㄨㄣˇ
tunqqqq ㄊㄨㄣˋ
tunqqqqq ㄊㄨㄣ˙
tung ㄊㄨㄥ
tungq ㄊㄨㄥˉ
tungqq ㄊㄨㄥˊ
tungqqq ㄊㄨㄥˇ
tungqqqq ㄊㄨㄥˋ
tungqqqqq ㄊㄨㄥ˙
tuo ㄊㄨㄛ
tuoq ㄊㄨㄛˉ
tuoqq ㄊㄨㄛˊ
tuoqqq ㄊㄨㄛˇ
tuoqqqq ㄊㄨㄛˋ
tuoqqqqq ㄊㄨㄛ˙
tv ㄊㄩ
tvq ㄊㄩˉ
tvqq ㄊㄩˊ
tvqqq ㄊㄩˇ
tvqqqq ㄊㄩˋ
tvqqqqq ㄊㄩ˙
tve ㄊㄩㄝ
tveq ㄊㄩㄝˉ
tveqq ㄊㄩㄝˊ
tveqqq ㄊㄩㄝˇ
tveqqqq ㄊㄩㄝˋ
tveqqqqq ㄊㄩㄝ˙
tvn ㄊㄩㄣ
tvnq ㄊㄩㄣˉ
tvnqq ㄊㄩㄣˊ
tvnqqq ㄊㄩㄣˇ
tvnqqqq ㄊㄩㄣˋ
tvnqqqqq ㄊㄩㄣ˙
tvng ㄊㄩㄥ
tvngq ㄊㄩㄥˉ
tvngqq ㄊㄩㄥˊ
tvngqqq ㄊㄩㄥˇ
tvngqqqq ㄊㄩㄥˋ
tvngqqqqq ㄊㄩㄥ˙
tyu ㄊㄩ
tyuq ㄊㄩˉ
tyuqq ㄊㄩˊ
tyuqqq ㄊㄩˇ
tyuqqqq ㄊㄩˋ
tyuqqqqq ㄊㄩ˙
tyue ㄊㄩㄝ
tyueq ㄊㄩㄝˉ
tyueqq ㄊㄩㄝˊ
tyueqqq ㄊㄩㄝˇ
tyueqqqq ㄊㄩㄝˋ
tyueqqqqq ㄊㄩㄝ˙
tyun ㄊㄩㄣ
tyunq ㄊㄩㄣˉ
tyunqq ㄊㄩㄣˊ
tyunqqq ㄊㄩㄣˇ
tyunqqqq ㄊㄩㄣˋ
tyunqqqqq ㄊㄩㄣ˙
tyung ㄊㄩㄥ
tyungq ㄊㄩㄥˉ
tyungqq ㄊㄩㄥˊ
tyungqqq ㄊㄩㄥˇ
tyungqqqq ㄊㄩㄥˋ
tyungqqqqq ㄊㄩㄥ˙
u ㄨ
uq ㄨˉ
uqq ㄨˊ
uqqq ㄨˇ
uqqqq ㄨˋ
uqqqqq ㄨ˙
ua ㄨㄚ
uaq ㄨㄚˉ
uaqq ㄨㄚˊ
uaqqq ㄨㄚˇ
uaqqqq ㄨㄚˋ
uaqqqqq ㄨㄚ˙
uai ㄨㄞ
uaiq ㄨㄞˉ
uaiqq ㄨㄞˊ
uaiqqq ㄨㄞˇ
uaiqqqq ㄨㄞˋ
uaiqqqqq ㄨㄞ˙
uan ㄨㄢ
uanq ㄨㄢˉ
uanqq ㄨㄢˊ
uanqqq ㄨㄢˇ
uanqqqq ㄨㄢˋ
uanqqqqq ㄨㄢ˙
uang ㄨㄤ
uangq ㄨㄤˉ
uangqq ㄨㄤˊ
uangqqq ㄨㄤˇ
uangqqqq ㄨㄤˋ
uangqqqqq ㄨㄤ˙
ui ㄨㄟ
uiq ㄨㄟˉ
uiqq ㄨㄟˊ
uiqqq ㄨㄟˇ
uiqqqq ㄨㄟˋ
uiqqqqq ㄨㄟ˙
un ㄨㄣ
unq ㄨㄣˉ
unqq ㄨㄣˊ
unqqq ㄨㄣˇ
unqqqq ㄨㄣˋ
unqqqqq ㄨㄣ˙
ung ㄨㄥ
ungq ㄨㄥˉ
ungqq ㄨㄥˊ
ungqqq ㄨㄥˇ
ungqqqq ㄨㄥˋ
ungqqqqq ㄨㄥ˙
uo ㄨㄛ
uoq ㄨㄛˉ
uoqq ㄨㄛˊ
uoqqq ㄨㄛˇ
uoqqqq ㄨㄛˋ
uoqqqqq ㄨㄛ˙
v ㄩ
vq ㄩˉ
vqq ㄩˊ
vqqq ㄩˇ
vqqqq ㄩˋ
vqqqqq ㄩ˙
ve ㄩㄝ
veq ㄩㄝˉ
veqq ㄩㄝˊ
veqqq ㄩㄝˇ
veqqqq ㄩㄝˋ
veqqqqq ㄩㄝ˙
vn ㄩㄣ
vnq ㄩㄣˉ
vnqq ㄩㄣˊ
vnqqq ㄩㄣˇ
vnqqqq ㄩㄣˋ
vnqqqqq ㄩㄣ˙
vng ㄩㄥ
vngq ㄩㄥˉ
vngqq ㄩㄥˊ
vngqqq ㄩㄥˇ
vngqqqq ㄩㄥˋ
vngqqqqq ㄩㄥ˙
wa ㄨㄚ
waq ㄨㄚˉ
waqq ㄨㄚˊ
waqqq ㄨㄚˇ
waqqqq ㄨㄚˋ
waqqqqq ㄨㄚ˙
wai ㄨㄞ
waiq ㄨㄞˉ
waiqq ㄨㄞˊ
waiqqq ㄨㄞˇ
waiqqqq ㄨㄞˋ
waiqqqqq ㄨㄞ˙
wan ㄨㄢ
wanq ㄨㄢˉ
wanqq ㄨㄢˊ
wanqqq ㄨㄢˇ
wanqqqq ㄨㄢˋ
wanqqqqq ㄨㄢ˙
wang ㄨㄤ
wangq ㄨㄤˉ
wangqq ㄨㄤˊ
wangqqq ㄨㄤˇ
wangqqqq ㄨㄤˋ
wangqqqqq ㄨㄤ˙
wei ㄨㄟ
weiq ㄨㄟˉ
weiqq ㄨㄟˊ
weiqqq ㄨㄟˇ
weiqqqq ㄨㄟˋ
weiqqqqq ㄨㄟ˙
wen ㄨㄣ
wenq ㄨㄣˉ
wenqq ㄨㄣˊ
wenqqq ㄨㄣˇ
wenqqqq ㄨㄣˋ
wenqqqqq ㄨㄣ˙
weng ㄨㄥ
wengq ㄨㄥˉ
wengqq ㄨㄥˊ
wengqqq ㄨㄥˇ
wengqqqq ㄨㄥˋ
wengqqqqq ㄨㄥ˙
wo ㄨㄛ
woq ㄨㄛˉ
woqq ㄨㄛˊ
woqqq ㄨㄛˇ
woqqqq ㄨㄛˋ
woqqqqq ㄨㄛ˙
wu ㄨ
wuq ㄨˉ
wuqq ㄨˊ
wuqqq ㄨˇ
wuqqqq ㄨˋ
wuqqqqq ㄨ˙
xa ㄒㄚ
xaq ㄒㄚˉ
xaqq ㄒㄚˊ
xaqqq ㄒㄚˇ
xaqqqq ㄒㄚˋ
xaqqqqq ㄒㄚ˙
xai ㄒㄞ
xaiq ㄒㄞˉ
xaiqq ㄒㄞˊ
xaiqqq ㄒㄞˇ
xaiqqqq ㄒㄞˋ
xaiqqqqq ㄒㄞ˙
xan ㄒㄢ
xanq ㄒㄢˉ
xanqq ㄒㄢˊ
xanqqq ㄒㄢˇ
xanqqqq ㄒㄢˋ
xanqqqqq ㄒㄢ˙
xang ㄒㄤ
xangq ㄒㄤˉ
xangqq ㄒㄤˊ
xangqqq ㄒㄤˇ
xangqqqq ㄒㄤˋ
xangqqqqq ㄒㄤ˙
xao ㄒㄠ
xaoq ㄒㄠˉ
xaoqq ㄒㄠˊ
xaoqqq ㄒㄠˇ
xaoqqqq ㄒㄠˋ
xaoqqqqq ㄒㄠ˙
xe ㄒㄜ
xeq ㄒㄜˉ
xeqq ㄒㄜˊ
xeqqq ㄒㄜˇ
xeqqqq ㄒㄜˋ
xeqqqqq ㄒㄜ˙
xei ㄒㄟ
xeiq ㄒㄟˉ
xeiqq ㄒㄟˊ
xeiqqq ㄒㄟˇ
xeiqqqq ㄒㄟˋ
xeiqqqqq ㄒㄟ˙
xen ㄒㄣ
xenq ㄒㄣˉ
xenqq ㄒㄣˊ
xenqqq ㄒㄣˇ
xenqqqq ㄒㄣˋ
xenqqqqq ㄒㄣ˙
xeng ㄒㄥ
xengq ㄒㄥˉ
xengqq ㄒㄥˊ
xengqqq ㄒㄥˇ
xengqqqq ㄒㄥˋ
xengqqqqq ㄒㄥ˙
xer ㄒㄦ
xerq ㄒㄦˉ
xerqq ㄒㄦˊ
xerqqq ㄒㄦˇ
xerqqqq ㄒㄦˋ
xerqqqqq ㄒㄦ˙
xi ㄒㄧ
xiq ㄒㄧˉ
xiqq ㄒㄧˊ
xiqqq ㄒㄧˇ
xiqqqq ㄒㄧˋ
xiqqqqq ㄒㄧ˙
xia ㄒㄧㄚ
xiaq ㄒㄧㄚˉ
